id,server,except_server,activityId,activityGroup,activityExclude,,isopen,area,acType,seType,startTimeType,startTime,endTime,appearTime,disappearTime,effectiveTime,levelVis,vipVis,conditionVis,conditionNum,serverLimit,playerLimit,reissue,plate,channelType,channel,integral,,,,,,,,,,
25,"[[1,9999999999]]",,23,,,爬塔基金-黄巾战令 - Quỹ leo tháp (Chiến hoàng cân),1,3,115,115,2,48,999999999,48,999999999,,30,0,,,0,0,2,0,,,,,,,,,,,,,
1993,"[[1,9999999999]]",,4601,,,616少年节 - Lễ Xếp Hình Tân Thủ,1,1,157,157,2,48,216,48,216,,10,0,,,0,0,1,0,,,,,,,,,,,,,
1994,"[[1,9999999999]]",,4602,,,616签到 - Sự kiện đăng nhập,1,1,149,143,2,48,216,48,216,,10,0,,,0,0,1,0,,,,,,,,,,,,,
1995,"[[1,9999999999]]",,4603,,,更上一层楼 - Sự kiện chính xếp hình,1,1,158,158,2,48,216,48,216,,10,0,,,0,0,1,0,,,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,"[[1,3001100080]]",,90,,,卧龙出山 - Ngoạ Long Xuất Sơn (Quân sư GCL),1,2,99,111,2,72,144,72,144,,10,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340,"[[1,3001100080]]",,3511,,,神将任务 - Nhiệm vụ thần tướng,1,1,103,145,2,96,168,96,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
1339,"[[1,3001100080]]",,3510,,,神将集结 - Thần tướng hạn thời,1,1,153,153,2,96,168,96,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
1195,"[[1,3001100080]]",,241,,,万能神将令特卖 -  Bán Lệnh Thần Tướng Vạn Năng,1,2,111,111,2,96,168,96,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
404,"[[1,3001100080]]",,3501,,,限时神将-曹操 - Tào Tháo (SSR+),1,1,103,103,2,96,168,96,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
1341,"[[1,3001100080]]",,3502,,,限时神将-司马懿 - Tư Mã Ý (SSR+),1,1,103,103,2,96,168,96,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
1193,"[[1,3001100080]]",,3503,,,限时神将-周瑜 - Chu Du (SSR+),1,1,103,103,2,96,168,96,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"[[1,9999999999]]",,25,,,至宝特惠 - Ưu đãi chí bảo,1,2,111,111,2,120,168,120,168,"[""2020/11/12 05/00/00"",""2099/08/04 04/59/59""]",10,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"[[1,9999999999]]",,5004,,,动态触发礼包3倍3 - Động thái x3_3,1,1,105,105,2,144,168,144,168,,10,0,,,0,0,2,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cụm 7 ngày mới,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4069,"[[3001100081,9999999999]]",,2169,,,求贤令特惠 - Ưu Đãi Cầu Hiền Lệnh,1,2,111,111,2,0,72,0,72,"[""2020/11/12 05/00/00"",""2099/08/04 04/59/59""]",10,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4070,"[[3001100081,9999999999]]",,2170,,,开服庆典特惠 - Ưu đãi mở server,1,2,111,111,2,0,168,0,168,"[""2022/08/04 05/00/00"",""2099/08/04 04/59/59""]",10,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4071,"[[3001100081,9999999999]]",,2171,,,小金刚特卖 - Bán đặc biệt Kea,1,2,99,111,2,0,168,0,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4072,"[[3001100081,9999999999]]",,3511,,,神将任务 - Nhiệm vụ thần tướng,1,1,103,145,2,24,96,24,96,,10,0,,,0,0,1,0,,,,,,,,,,,,,
4073,"[[3001100081,9999999999]]",,3510,,,神将集结 - Thần tướng hạn thời,1,1,153,153,2,24,96,24,96,"[""2022/08/04 05/00/00"",""2099/08/04 04/59/59""]",10,0,,,0,0,1,0,,,,,,,,,,,,,
4074,"[[3001100081,9999999999]]",,241,,,万能神将令特卖 -  Bán Lệnh Thần Tướng Vạn Năng,1,2,111,111,2,24,96,24,96,,10,0,,,0,0,1,0,,,,,,,,,,,,,
4075,"[[3001100081,9999999999]]",,5007,,,限时神将-关羽 - Quan Vũ (SSR+),1,1,103,103,2,24,96,24,96,,10,0,,,0,0,1,0,,,,,,,,,,,,,
4076,"[[3001100081,9999999999]]",,3502,,,限时神将-司马懿 - Tư Mã Ý (SSR+),1,1,103,103,2,24,96,24,96,,10,0,,,0,0,1,0,,,,,,,,,,,,,
4077,"[[3001100081,9999999999]]",,3503,,,限时神将-周瑜 - Chu Du (SSR+),1,1,103,103,2,24,96,24,96,,10,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4078,"[[3001100081,9999999999]]",,2172,,,卧龙出山 - Ngoạ Long Xuất Sơn (Quân sư GCL),1,2,99,111,2,72,144,72,144,,10,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4079,"[[3001100081,9999999999]]",,3511,,,神将任务 - Nhiệm vụ thần tướng,1,1,103,145,2,96,168,96,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
4080,"[[3001100081,9999999999]]",,3510,,,神将集结 - Thần tướng hạn thời,1,1,153,153,2,96,168,96,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
4081,"[[3001100081,9999999999]]",,241,,,万能神将令特卖 -  Bán Lệnh Thần Tướng Vạn Năng,1,2,111,111,2,96,168,96,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
4082,"[[3001100081,9999999999]]",,3508,,,限时神将-凌统 - Lăng Thống (SSR+),1,1,103,103,2,96,168,96,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
4083,"[[3001100081,9999999999]]",,3504,,,限时神将-孙策 - Thần Tướng Hạn Thời Tôn Sách (SSR+),1,1,103,103,2,96,168,96,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
4084,"[[3001100081,9999999999]]",,3506,,,限时神将-弓吕布 - Thần Tướng Hạn Thời (Lữ Bố Cung),1,1,103,103,2,96,168,96,168,,10,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cụm 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"[[1,9999999999]]",,69,,,五虎特卖 - Ưu đãi bảo vật (Ngũ Hổ Tướng),1,2,111,111,2,168,336,168,336,,10,0,,,0,0,1,0,,,,,,,,,,,,,
73,"[[1,9999999999]]",,40,,,资源找回 - Thu hồi tài nguyên,1,3,124,124,2,168,999999999,168,999999999,"[""2020/11/12 05/00/00"",""2099/08/04 04/59/59""]",25,0,,,0,0,2,0,,,,,,,,,,,,,
28,"[[1,9999999999]]",,19,,,每日充值2 - Nạp mỗi ngày 2,1,3,104,104,2,168,336,168,336,,10,0,,,0,0,1,0,,,,,,,,,,,,,
26,"[[1,9999999999]]",,28,,,天工战令 - Thiên Công Lệnh,1,3,116,116,2,168,999999999,168,999999999,,26,0,,,0,0,2,0,,,,,,,,,,,,,
9926,"[[1,9999999999]]",,9928,,,Quỹ Phiếu,1,3,996,996,2,0,168,0,168,,10,0,,,0,0,2,0,,,,,,,,,,,,,
9927,"[[1,9999999999]]",,9929,,,Quỹ Phiếu Cao Cấp,1,3,996,996,2,0,168,0,168,,10,0,,,0,0,2,0,,,,,,,,,,,,,
12,"[[1,9999999999]]",,5008,,,嘉年华2 - Lễ tuần 2,1,1,114,102,3,168,336,168,336,,10,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"[[1,9999999999]]",,77,,,累积充值 - Quà Tích Nạp (Tiểu Kiều + Chu Thái 8 mốc),1,2,9,1,1,2026/01/26 05/00/00,2026/02/02 05/00/00,2026/01/26 05/00/00,2026/02/02 05/00/00,,10,0,,,0,0,1,0,,,,,,,,,,,,,
118,"[[1,9999999999]]",,62,,,每周特卖（吴国）- Ưu đãi hàng tuần (Ngô Quốc),1,2,111,111,1,2026/01/26 05/00/00,2026/02/02 05/00/00,2026/01/26 05/00/00,2026/02/02 05/00/00,,10,0,,,0,0,1,0,,,,,,,,,,,,,
102,"[[1,9999999999]]",,5013,,,S1赛季基金 - Quỹ Mùa Giải S1,0,1,129,129,1,2026/01/23 05/00/00,2026/02/23 05/00/00,2026/01/23 05/00/00,2026/02/23 05/00/00,,26,0,,,0,0,1,0,,,,,,,,,,,,,
76,"[[1,9999999999]]",,47,,,江东丰产 - Giang Đông Phong Sản,1,2,1,1,1,2026/01/26 05/00/00,2026/02/02 05/00/00,2026/01/26 05/00/00,2026/02/02 05/00/00,,6,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"[[1,9999999999]]",,48,,,逐鹿天下 - Tranh Đoạt Thiên Hạ,1,2,1,1,1,2026/01/29 05/00/00,2026/02/02 05/00/00,2026/01/29 05/00/00,2026/02/02 05/00/00,,22,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"[[1,9999999999]]",,7,,,名将特惠 - Ưu đãi danh tướng,1,2,111,111,1,2026/01/30 05/00/00,2026/02/02 05/00/00,2026/01/30 05/00/00,2026/02/02 05/00/00,"[""2022/08/04 05/00/00"",""2099/08/04 04/59/59""]",10,0,,,168,0,1,0,,,,,,,,,,,,,
81,"[[1,9999999999]]",,29,,,登陆有礼（周末狂欢）- Cuồng Hoan Cuối Tuần,1,2,1,1,1,2026/01/30 05/00/00,2026/02/02 05/00/00,2026/01/30 05/00/00,2026/02/02 05/00/00,"[""2022/08/04 05/00/00"",""2099/08/04 04/59/59""]",6,0,,,168,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1418,"[[1,9999999999]]",,3511,,,神将任务 - Nhiệm vụ thần tướng,1,1,103,145,1,2026/01/30 05/00/00,2026/02/02 05/00/00,2026/01/30 05/00/00,2026/02/02 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
1417,"[[1,9999999999]]",,3510,,,神将集结 - Thần tướng hạn thời,1,1,153,153,1,2026/01/30 05/00/00,2026/02/02 05/00/00,2026/01/30 05/00/00,2026/02/02 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
475,"[[1,9999999999]]",,3504,,,限时神将-孙策 - Thần Tướng Hạn Thời Tôn Sách (SSR+),1,1,103,103,1,2026/01/30 05/00/00,2026/02/02 05/00/00,2026/01/30 05/00/00,2026/02/02 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
661,"[[1,9999999999]]",,3506,,,限时神将-弓吕布 - Thần Tướng Hạn Thời (Lữ Bố Cung),1,1,103,103,1,2026/01/30 05/00/00,2026/02/02 05/00/00,2026/01/30 05/00/00,2026/02/02 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
1508,"[[1,9999999999]]",,3507,,,限时神将-姜维 - Thần Tướng Hạn Thời (Khương Duy),1,1,103,103,1,2026/01/30 05/00/00,2026/02/02 05/00/00,2026/01/30 05/00/00,2026/02/02 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
1344,"[[1,9999999999]]",,241,,,万能神将令特卖 -  Bán Lệnh Thần Tướng Vạn Năng,1,2,111,111,1,2026/01/30 05/00/00,2026/02/02 05/00/00,2026/01/30 05/00/00,2026/02/02 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
348,"[[1,9999999999]]",,165,,,名将豪礼 - Danh tướng hào lễ,1,2,111,111,1,2026/01/30 05/00/00,2026/02/02 05/00/00,2026/01/30 05/00/00,2026/02/02 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"[[1,9999999999]]",,12,,,沙盘演武双倍 - X2 Sa Bàn Diễn Võ,1,2,6,106,1,2026/01/31 05/00/00,2026/02/02 05/00/00,2026/01/31 05/00/00,2026/02/02 05/00/00,,26,0,,,168,0,2,0,,,,,,,,,,,,,
40,"[[1,9999999999]]",,16,,,华容道双倍 - X2 Hoa Dung Đạo,1,2,6,106,1,2026/01/26 05/00/00,2026/01/27 05/00/00,2026/01/26 05/00/00,2026/01/27 05/00/00,,18,0,,,168,0,2,0,,,,,,,,,,,,,
32,"[[1,9999999999]]",,15,,,长坂坡双倍 - X2 Dốc Trường Bản,1,2,6,106,1,2026/01/27 05/00/00,2026/01/28 05/00/00,2026/01/27 05/00/00,2026/01/28 05/00/00,,21,0,,,168,0,2,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,"[[1,9999999999]]",,5014,,,S2赛季基金 - Quỹ mùa giải S2,1,1,129,129,1,2026/02/01 5/00/00,2026/03/01  5/00/00,2026/02/01 5/00/00,2026/03/01  5/00/00,,26,0,,,168,0,1,0,,,,,,,,,,,,,
125,"[[1,9999999999]]",,72,,,每日充值3 - Nạp mỗi ngày 3,1,3,104,104,3,336,504,336,504,,10,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,"[[1,9999999999]]",,176,,,累积充值-魏国 - Quà Tích Nạp (Nguỵ Quốc),1,2,9,1,1,2026/02/02 05/00/00,2026/02/09 05/00/00,2026/02/02 05/00/00,2026/02/09 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
867,"[[1,9999999999]]",,226,,,补给特惠-荀�� - Ưu đãi trợ cấp (Tuân Úc),1,2,111,111,1,2026/02/02 05/00/00,2026/02/04 05/00/00,2026/02/02 05/00/00,2026/02/04 05/00/00,,20,0,,,168,0,1,0,,,,,,,,,,,,,
155,"[[1,9999999999]]",,86,,,每周特卖（魏国）- Ưu đãi hàng tuần (Nguỵ Quốc),1,2,111,111,1,2026/02/02 05/00/00,2026/02/09 05/00/00,2026/02/02 05/00/00,2026/02/09 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
871,"[[1,9999999999]]",,87,,,巅峰之星-荀�� - Siêu sao (Tuân Úc),1,2,1,1,1,2026/02/02 05/00/00,2026/02/05 05/00/00,2026/02/02 05/00/00,2026/02/05 05/00/00,,36,0,,,168,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,"[[1,9999999999]]",,194,,,武魂星盘 - Võ Hồn Tinh Bàn,1,2,140,140,1,2026/02/02 05/00/00,2026/02/05 05/00/00,2026/02/02 05/00/00,2026/02/05 05/00/00,,26,0,,,168,0,1,0,,,,,,,,,,,,,
563,"[[1,9999999999]]",,156,,,武魂特惠 - Ưu Đãi Võ Hồn,1,2,111,111,1,2026/02/02 05/00/00,2026/02/05 05/00/00,2026/02/02 05/00/00,2026/02/05 05/00/00,,26,0,,,168,0,1,0,,,,,,,,,,,,,
41,"[[1,9999999999]]",,16,,,华容道双倍 - X2 Hoa Dung Đạo,1,2,6,106,1,2026/02/02 05/00/00,2026/02/03 05/00/00,2026/02/02 05/00/00,2026/02/03 05/00/00,,18,0,,,168,0,2,0,,,,,,,,,,,,,
75,"[[1,9999999999]]",,46,,,魏武之赐 - Ngụy Vũ Chi Tứ,1,2,1,1,1,2026/02/02 05/00/00,2026/02/09 05/00/00,2026/02/02 05/00/00,2026/02/09 05/00/00,,6,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,"[[1,9999999999]]",,138,,,令牌特惠 - Ưu Đãi Lệnh Bài,1,2,111,111,1,2026/02/03 05/00/00,2026/02/06 05/00/00,2026/02/03 05/00/00,2026/02/06 05/00/00,,20,0,,,168,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"[[1,9999999999]]",,43,,,乘胜追击 - Thừa Thắng Truy Kích,1,2,6,106,1,2026/02/04 05/00/00,2026/02/05 05/00/00,2026/02/04 05/00/00,2026/02/05 05/00/00,,10,0,,,168,0,2,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"[[1,9999999999]]",,48,,,逐鹿天下 - Trục Lộc Thiên Hạ,1,2,1,1,1,2026/02/05 05/00/00,2026/02/09 05/00/00,2026/02/05 05/00/00,2026/02/09 05/00/00,,22,0,,,168,0,1,0,,,,,,,,,,,,,
328,"[[1,9999999999]]",,154,,,至尊特惠 - Quân sư Quách Gia,1,2,99,111,1,2026/02/05 05/00/00,2026/02/09 05/00/00,2026/02/05 05/00/00,2026/02/09 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"[[1,9999999999]]",,29,,,登陆有礼（周末狂欢）- Cuồng Hoan Cuối Tuần,1,2,1,1,1,2026/02/06 05/00/00,2026/02/09 05/00/00,2026/02/06 05/00/00,2026/02/09 05/00/00,,6,0,,,168,0,1,0,,,,,,,,,,,,,
1422,"[[1,9999999999]]",,241,,,万能神将令特卖 -  Bán Lệnh Thần Tướng Vạn Năng,1,2,111,111,1,2026/02/06 05/00/00,2026/02/09 05/00/00,2026/02/06 05/00/00,2026/02/09 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
4050,"[[1,9999999999]]",,146,,,名将豪礼 - Danh Tướng Hào Lễ,1,2,111,111,1,2026/02/06 05/00/00,2026/02/09 05/00/00,2026/02/06 05/00/00,2026/02/09 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
929,"[[1,9999999999]]",,3509,,,限时神将-夏侯渊 - Thần Tướng Hạn Thời (Hạ Hầu Uyên SSR+),1,1,103,103,1,2026/02/06 05/00/00,2026/02/09 05/00/00,2026/02/06 05/00/00,2026/02/09 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
840,"[[1,9999999999]]",,3508,,,限时神将-凌统 - Lăng Thống (SSR+),1,1,103,103,1,2026/02/06 05/00/00,2026/02/09 05/00/00,2026/02/06 05/00/00,2026/02/09 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,"[[1,9999999999]]",,242,,,名将特惠 - Ưu đãi danh tướng,1,2,111,111,1,2026/02/07 05/00/00,2026/02/09 05/00/00,2026/02/07 05/00/00,2026/02/09 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
37,"[[1,9999999999]]",,12,,,沙盘演武双倍 - X2 Sa Bàn Diễn Võ,1,2,6,106,1,2026/02/07 05/00/00,2026/02/09 05/00/00,2026/02/07 05/00/00,2026/02/09 05/00/00,,26,0,,,168,0,2,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9t2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"[[1,9999999999]]",,88,,,每日充值5 - Nạp mỗi ngày 5,1,3,104,104,3,504,672,504,672,,10,0,,,0,0,1,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,"[[1,9999999999]]",,184,,,累积充值 - Nạp Tích Luỹ (Hoa Hùng + Văn Xú 8 mốc),1,2,9,1,1,2026/02/09 05/00/00,2026/02/16 05/00/00,2026/02/09 05/00/00,2026/02/16 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
141,"[[1,9999999999]]",,83,,,补给特惠 - Ưu đãi bù (Trương Bảo),1,2,111,111,1,2026/02/09 05/00/00,2026/02/11 05/00/00,2026/02/09 05/00/00,2026/02/11 05/00/00,,20,0,,,168,0,1,0,,,,,,,,,,,,,
139,"[[1,9999999999]]",,81,,,每周特卖（群雄）- Ưu đãi đặc biệt hàng tuần ( Quần Hùng),1,2,111,111,1,2026/02/09 05/00/00,2026/02/16 05/00/00,2026/02/09 05/00/00,2026/02/16 05/00/00,,10,0,,,168,0,1,0,,,,,,,,,,,,,
